datetime,open,high,low,close,volume 
2008.06.15 21:00:00,870.569,894.384,866.394,881.621,6.91501
2008.06.16 21:00:00,881.727,888.297,874.697,882.138,7.438
2008.06.17 21:00:00,882.089,895.52,879.322,893.87,7.18012
2008.06.18 21:00:00,893.648,908.338,886.18,897.598,7.59054
2008.06.19 21:00:00,897.269,907.622,895.473,901.069,7.4078
2008.06.22 21:00:00,900.647,907.023,877.775,883.177,6.9945
2008.06.23 21:00:00,883.249,893.511,882.277,889.004,7.38248
2008.06.24 21:00:00,889.064,890.116,873.559,885.333,7.29066
2008.06.25 21:00:00,885.352,917.594,884.224,916.32,7.62693
2008.06.26 21:00:00,916.415,930.268,909.941,926.898,7.54322
2008.06.29 21:00:00,926.947,934.84,918.05,924.831,7.13515
2008.06.30 21:00:00,924.744,945.823,921.553,939.145,7.56295
2008.07.01 21:00:00,939.329,945.229,931.427,944.775,7.38362
2008.07.02 21:00:00,944.731,946.028,928.031,933.946,7.88945
2008.07.03 21:00:00,934.085,936.004,928.736,932.014,6.77744
2008.07.06 21:00:00,932.07,932.847,914.637,924.946,7.25531
2008.07.07 21:00:00,925.073,932.836,912.577,918.849,7.4934
2008.07.08 21:00:00,919.04,928.454,915.588,927.607,7.52569
2008.07.09 21:00:00,927.64,947.273,925.157,945.92,7.63574
2008.07.10 21:00:00,945.93,967.254,941.42,962.989,7.62351
2008.07.13 21:00:00,963.439,974.896,953.76,971.49,7.01813
2008.07.14 21:00:00,971.44,987.517,968.763,976.542,7.65353
2008.07.15 21:00:00,976.625,980.712,957.458,959.128,7.41008
2008.07.16 21:00:00,959.353,978.218,953.329,956.806,7.77429
2008.07.17 21:00:00,956.629,964.124,949.782,953.86,7.58226
2008.07.20 21:00:00,954.047,968.053,953.969,964.411,7.0713
2008.07.21 21:00:00,964.358,975.69,942.636,945.205,7.46697
2008.07.22 21:00:00,945.105,948.719,917.19,920.118,7.43156
2008.07.23 21:00:00,920.071,930.698,916.497,927.209,7.67482
2008.07.24 21:00:00,927.381,934.841,918.576,928.649,7.62794
2008.07.27 21:00:00,928.398,932.51,922.359,930.102,7.12888
2008.07.28 21:00:00,930.185,932.911,914.023,918.421,7.47199
2008.07.29 21:00:00,918.269,919.321,893.433,905.422,7.41242
2008.07.30 21:00:00,905.639,924.986,904.823,913.267,7.79312
2008.07.31 21:00:00,913.182,916.457,901.362,909.79,7.56546
2008.08.03 21:00:00,909.319,914.832,893.249,893.959,7.12063
2008.08.04 21:00:00,893.952,895.233,872.162,873.382,7.49451
2008.08.05 21:00:00,873.433,886.175,872.477,879,7.49521
2008.08.06 21:00:00,878.958,884.534,867.373,872.18,7.71996
2008.08.07 21:00:00,872.143,873.551,850.499,855.479,7.77936
2008.08.10 21:00:00,855.074,865.402,818.545,823.103,7.38841
2008.08.11 21:00:00,823.251,826.338,802.154,811.258,7.70492
2008.08.12 21:00:00,811.154,829.029,805.232,826.027,7.64271
2008.08.13 21:00:00,826.068,836.336,804.371,805.761,7.91825
2008.08.14 21:00:00,805.625,806.549,776.383,786.398,7.86248
2008.08.17 21:00:00,785.223,803.616,785.162,799.195,7.2628
2008.08.18 21:00:00,799.041,816.276,782.497,813.714,7.71247
2008.08.19 21:00:00,813.693,818.059,799.902,812.91,7.56929
2008.08.20 21:00:00,812.84,838.018,810.634,836.057,7.85733
2008.08.21 21:00:00,836.075,837.413,820.839,821.879,7.76572
2008.08.24 21:00:00,821.823,825.342,816.365,821.183,7.29918
2008.08.25 21:00:00,821.488,829.312,806.635,824.125,7.65367
2008.08.26 21:00:00,824.191,835.134,821.259,826.022,7.61466
2008.08.27 21:00:00,826.097,843.574,825.028,833.239,7.80454
2008.08.28 21:00:00,833.224,838.324,829.012,830.363,7.49358
2008.08.31 21:00:00,829.547,835.944,815.246,816.778,6.99523
2008.09.01 21:00:00,816.845,819.53,790.828,804.618,7.64649
2008.09.02 21:00:00,804.779,808.128,789.11,800.192,7.51472
2008.09.03 21:00:00,800.377,814.435,793.507,795.564,7.96275
2008.09.04 21:00:00,795.621,817.758,789.758,802.924,7.8678
2008.09.07 21:00:00,802.548,817.937,796.75,801.649,7.19973
2008.09.08 21:00:00,801.767,804.536,775.142,776.713,7.79436
2008.09.09 21:00:00,776.676,783.122,750.516,751.351,7.75972
2008.09.10 21:00:00,751.44,757.551,736.113,745.957,8.02175
2008.09.11 21:00:00,746.041,766.392,745.79,764.293,7.79654
2008.09.14 21:00:00,763.172,787.225,763.089,785.763,7.14046
2008.09.15 21:00:00,785.877,789.59,771.584,778.81,7.79069
